experiment,total_bytes,recipe_bytes,payload_bytes,savings_vs_ndjson,recipe_pct_of_total,ratio,lossless,opaque,sub_problem,law6_violator,template_winner
01-spike-encoding,125337,0,125337,1950248,0,16.56,true,false,true,false,true
02-period-detection,102261,0,102261,1973324,0,20.297,true,false,false,false,true
03-knot-signature,144943,0,144943,1930642,0,14.32,true,false,true,false,true
04-triskele-ifs,101689,0,101689,1973896,0,16.86,true,false,false,false,true
05-wallpaper-group,99267,0,99267,1976318,0,19.21,true,false,false,false,true
06-annular-key,63727,0,63727,2011858,0,32.57,true,false,true,false,true
07-plait-braid,114991,0,114991,1960594,0,18.05,true,false,true,false,true
08-sheaf-cohomology,127493,0,127493,1948092,0,16.28,true,false,true,false,true
09-determinism-upgrade,2978308,0,2978308,-902723,0,0.697,true,false,false,true,false
11-trefoil-dct,213099,0,213099,1862486,0,9.74,true,false,true,false,true
12-turning-key,100206,14933,85273,1975379,14.9,18.92,true,false,false,false,false
13-atomsmasher-receipt-sheaf,133822,0,133822,1941763,0,15.51,true,false,true,false,true
15-per-strand-4weave,128758,0,128758,1946827,0,16.12,true,false,true,false,true
16-conditional-markov,15107,0,15107,2060478,0,137.392,true,false,false,false,true
17-five-weave,1638302,0,1638302,437283,0,1.267,true,false,false,false,false
18-schema-constraint-folding,118741,0,118741,1956844,0,17.48,true,false,true,false,true
19-fused-codec,119896,0,812701,1955689,0,17.31,true,false,false,false,true
20-binary-schema,119294,0,810654,1956291,0,17.4,false,false,false,false,true
23-axis-p-parametric,121521,0,121521,1954064,0,17.08,false,false,true,false,true
24-deeper-markov,1265193,0,1265193,810392,0,1.641,,false,false,false,false
25-combined-codec,128918,0,128918,1946667,0,16.1,true,false,true,false,true
26-conditional-on-action,1274043,0,1274043,801542,0,1.629,,false,false,false,false
27-axis-p-residual-parametric,216913,0,216913,1858672,0,9.569,,false,false,false,true
28-strip-then-stream,118391,0,0,1957194,0,17.53,true,true,false,false,false
29-codec-sweep,120166,0,0,1955419,0,17.273,,true,false,false,false
30-fine-sort-and-dict,79382,0,0,1996203,0,26.147,,true,false,false,false
31-deterministic-ids,2075585,0,2075585,0,0,1,,false,false,false,false
32-targeted-per-action-regen,75975,0,24274,1999610,0,27.319,,false,false,false,true
35-batch-of-100,1716,0,0,2073869,0,1209.55,,true,false,false,false
37-template-dedupe,73869,31139,42730,2001716,42.15,28.1,true,false,false,false,false
38-method5-schema-fold,59102,0,0,2016483,0,35.12,true,true,false,false,false
39-method6-hybrid,53601,171,53430,2021984,0.32,38.72,true,false,false,false,true
40-method7-air-decomp,55110,502,54608,2020475,0.91,37.66,false,false,false,false,true
41-break-brotli,84511,0,84511,1991074,0,24.56,,true,true,false,false
42-method8-sorted-shapes,50097,0,0,2025488,0,41.43,true,true,false,false,false
44-method9-action-length-sort,49310,0,0,2026275,0,42.09,true,true,false,false,false
51-replay-pipeline,482606,0,482606,1592979,0,4.301,,false,false,false,false
53-method13-derivations,71049,119,70930,2004536,0.17,29.213,false,false,false,false,true
54-method14-derive-summary,44703,0,0,2030882,0,46.431,true,true,false,false,false
55-method15-strip-more,45282,0,0,2030303,0,45.837,true,true,false,false,false
56-method16-strip-status-only,44788,0,0,2030797,0,46.342,true,true,false,false,false
57-method17-air-decomp,46165,0,0,2029420,0,44.96,false,true,false,false,false
58-method18-nested-payload,44263,0,0,2031322,0,46.892,true,true,false,false,false
59-method19-strip-empty-id,44095,0,0,2031490,0,47.071,true,true,false,false,false
62-cluster-delta,40816,0,0,2034769,0,50.852,,true,false,false,false
